group,id,course,semester,grade
1,40,Spirituality and Rituals,2,13.25
1,40,Spirituality and Rituals,2,5.75
1,40,Spirituality and Rituals,2,9.75
1,40,Spirituality and Rituals,2,5
1,40,Spirituality and Rituals,2,11.75
1,40,Spirituality and Rituals,2,9.25
1,40,Spirituality and Rituals,2,10.25
1,40,Traditional Medicine and Herbalism,2,14
1,40,Traditional Medicine and Herbalism,2,7.5
1,40,Traditional Medicine and Herbalism,2,5.5
1,40,Traditional Medicine and Herbalism,2,4.5
1,40,Traditional Medicine and Herbalism,2,11
1,40,Traditional Medicine and Herbalism,2,11
1,40,Traditional Medicine and Herbalism,2,3
1,53,Agriculture and Horticulture,1,6
1,53,Agriculture and Horticulture,1,8
1,53,Agriculture and Horticulture,1,9
1,53,Agriculture and Horticulture,1,7
1,53,Agriculture and Horticulture,1,10
1,53,Agriculture and Horticulture,1,5
1,53,Agriculture and Horticulture,1,9
1,53,Agriculture and Horticulture,1,9
1,53,Agriculture and Horticulture,1,7
1,53,Architecture and Sculpture,1,9.8
1,53,Architecture and Sculpture,1,10.3
1,53,Architecture and Sculpture,1,8.7
1,53,Astrology and Divination,1,15.5
1,53,Astrology and Divination,1,9.5
1,53,Astrology and Divination,1,11
1,53,Astrology and Divination,1,11.5
1,53,Astrology and Divination,1,13
1,53,Buddhist Philosophy and Meditation,1,9.9
1,53,Buddhist Philosophy and Meditation,1,9.3
1,53,Buddhist Philosophy and Meditation,1,7.1
1,53,Buddhist Philosophy and Meditation,1,10.3
1,53,Buddhist Philosophy and Meditation,1,8.7
1,53,Buddhist Philosophy and Meditation,1,9.4
1,53,Buddhist Philosophy and Meditation,1,9.5
1,53,Buddhist Philosophy and Meditation,1,11
1,53,Buddhist Philosophy and Meditation,1,9.4
1,53,History and Civilization of Southeast Asia,1,9.5
1,53,History and Civilization of Southeast Asia,1,9
1,53,History and Civilization of Southeast Asia,1,4.5
1,53,History and Civilization of Southeast Asia,1,9
1,53,History and Civilization of Southeast Asia,1,12.5
1,53,History and Civilization of Southeast Asia,1,4
1,53,History and Civilization of Southeast Asia,1,11
1,53,History and Civilization of Southeast Asia,1,4
1,53,History and Civilization of Southeast Asia,1,12.5
1,53,Language and Linguistics,1,8.25
1,53,Language and Linguistics,1,10
1,53,Language and Linguistics,1,9
1,53,Language and Linguistics,1,7.5
1,53,Language and Linguistics,1,8
1,53,Language and Linguistics,1,7.25
1,53,Language and Linguistics,1,7.5
1,53,Language and Linguistics,1,9.25
1,53,Martial Arts and Self-Defense,2,14.7
1,53,Martial Arts and Self-Defense,2,12.3
1,53,Martial Arts and Self-Defense,2,11.2
1,53,Martial Arts and Self-Defense,2,13.9
1,53,Martial Arts and Self-Defense,2,14.2
1,53,Martial Arts and Self-Defense,2,14.5
1,53,Music and Dance,1,9
1,53,Music and Dance,1,12
1,53,Music and Dance,1,11
1,53,Music and Dance,1,16
1,53,Music and Dance,1,11
1,53,Music and Dance,1,19
1,53,Music and Dance,1,10
1,53,Music and Dance,1,15
1,53,Music and Dance,1,12.5
1,53,Spirituality and Rituals,2,7.5
1,53,Spirituality and Rituals,2,7.5
1,53,Spirituality and Rituals,2,11.25
1,53,Spirituality and Rituals,2,7.5
1,53,Spirituality and Rituals,2,10.5
1,53,Spirituality and Rituals,2,9
1,53,Spirituality and Rituals,2,13
1,53,Traditional Medicine and Herbalism,2,13
1,53,Traditional Medicine and Herbalism,2,8.5
1,53,Traditional Medicine and Herbalism,2,4
1,53,Traditional Medicine and Herbalism,2,7.5
1,53,Traditional Medicine and Herbalism,2,2.5
1,53,Traditional Medicine and Herbalism,2,9
1,53,Traditional Medicine and Herbalism,2,7
1,62,Agriculture and Horticulture,1,11
1,62,Agriculture and Horticulture,1,6
1,62,Agriculture and Horticulture,1,14
1,62,Agriculture and Horticulture,1,7
1,62,Agriculture and Horticulture,1,7
1,62,Agriculture and Horticulture,1,11
1,62,Agriculture and Horticulture,1,9
1,62,Agriculture and Horticulture,1,14
1,62,Agriculture and Horticulture,1,11
1,62,Architecture and Sculpture,1,12.8
1,62,Architecture and Sculpture,1,12.6
1,62,Architecture and Sculpture,1,10.7
1,62,Astrology and Divination,1,14
1,62,Astrology and Divination,1,15
1,62,Astrology and Divination,1,11.5
1,62,Astrology and Divination,1,13
1,62,Astrology and Divination,1,13
1,62,Buddhist Philosophy and Meditation,1,7.2
1,62,Buddhist Philosophy and Meditation,1,10.7
1,62,Buddhist Philosophy and Meditation,1,8.6
1,62,Buddhist Philosophy and Meditation,1,9.9
1,62,Buddhist Philosophy and Meditation,1,8.4
1,62,Buddhist Philosophy and Meditation,1,9.6
1,62,Buddhist Philosophy and Meditation,1,10
1,62,Buddhist Philosophy and Meditation,1,10
1,62,History and Civilization of Southeast Asia,1,7
1,62,History and Civilization of Southeast Asia,1,8
1,62,History and Civilization of Southeast Asia,1,10.5
1,62,History and Civilization of Southeast Asia,1,7
1,62,History and Civilization of Southeast Asia,1,10.5
1,62,History and Civilization of Southeast Asia,1,6
1,62,History and Civilization of Southeast Asia,1,7
1,62,History and Civilization of Southeast Asia,1,6.5
1,62,History and Civilization of Southeast Asia,1,9.5
1,62,Language and Linguistics,1,9
1,62,Language and Linguistics,1,8.75
1,62,Language and Linguistics,1,9
1,62,Language and Linguistics,1,9
1,62,Language and Linguistics,1,8.25
1,62,Language and Linguistics,1,10
1,62,Language and Linguistics,1,10
1,62,Language and Linguistics,1,8.5
1,62,Martial Arts and Self-Defense,2,12.7
1,62,Martial Arts and Self-Defense,2,13.2
1,62,Martial Arts and Self-Defense,2,14.9
1,62,Martial Arts and Self-Defense,2,14.6
1,62,Martial Arts and Self-Defense,2,20
1,62,Martial Arts and Self-Defense,2,14.2
1,62,Music and Dance,1,10.5
1,62,Music and Dance,1,15
1,62,Music and Dance,1,9
1,62,Music and Dance,1,15
1,62,Music and Dance,1,11
1,62,Music and Dance,1,10.5
1,62,Music and Dance,1,10.5
1,62,Music and Dance,1,14
1,62,Spirituality and Rituals,2,11.5
1,62,Spirituality and Rituals,2,9.75
1,62,Spirituality and Rituals,2,12
1,62,Spirituality and Rituals,2,7.5
1,62,Spirituality and Rituals,2,10.5
1,62,Spirituality and Rituals,2,11
1,62,Spirituality and Rituals,2,13.25
1,62,Spirituality and Rituals,2,10
1,62,Traditional Medicine and Herbalism,2,7
1,62,Traditional Medicine and Herbalism,2,11
1,62,Traditional Medicine and Herbalism,2,10
1,62,Traditional Medicine and Herbalism,2,11.5
1,62,Traditional Medicine and Herbalism,2,8.5
1,62,Traditional Medicine and Herbalism,2,9
1,62,Traditional Medicine and Herbalism,2,10.5
1,72,Agriculture and Horticulture,1,6
1,72,Agriculture and Horticulture,1,11
1,72,Agriculture and Horticulture,1,8
1,72,Agriculture and Horticulture,1,9
1,72,Agriculture and Horticulture,1,12
1,72,Agriculture and Horticulture,1,8
1,72,Agriculture and Horticulture,1,5
1,72,Agriculture and Horticulture,1,8
1,72,Agriculture and Horticulture,1,8
1,72,Architecture and Sculpture,1,12.2
1,72,Architecture and Sculpture,1,11.4
1,72,Architecture and Sculpture,1,12.4
1,72,Astrology and Divination,1,14
1,72,Astrology and Divination,1,14.5
1,72,Astrology and Divination,1,15
1,72,Astrology and Divination,1,15.5
1,72,Astrology and Divination,1,12
1,72,Buddhist Philosophy and Meditation,1,12.4
1,72,Buddhist Philosophy and Meditation,1,8.3
1,72,Buddhist Philosophy and Meditation,1,10.8
1,72,Buddhist Philosophy and Meditation,1,9.6
1,72,Buddhist Philosophy and Meditation,1,7.9
1,72,Buddhist Philosophy and Meditation,1,8.4
1,72,Buddhist Philosophy and Meditation,1,7.6
1,72,Buddhist Philosophy and Meditation,1,8.4
1,72,Buddhist Philosophy and Meditation,1,10.7
1,72,History and Civilization of Southeast Asia,1,8
1,72,History and Civilization of Southeast Asia,1,7.5
1,72,History and Civilization of Southeast Asia,1,4.5
1,72,History and Civilization of Southeast Asia,1,8
1,72,History and Civilization of Southeast Asia,1,11
1,72,History and Civilization of Southeast Asia,1,9.5
1,72,History and Civilization of Southeast Asia,1,6
1,72,History and Civilization of Southeast Asia,1,6
1,72,History and Civilization of Southeast Asia,1,11
1,72,Language and Linguistics,1,9.5
1,72,Language and Linguistics,1,7.5
1,72,Language and Linguistics,1,8
1,72,Language and Linguistics,1,9
1,72,Language and Linguistics,1,9.25
1,72,Language and Linguistics,1,9.25
1,72,Language and Linguistics,1,8.75
1,72,Language and Linguistics,1,8.75
1,72,Martial Arts and Self-Defense,2,11.5
1,72,Martial Arts and Self-Defense,2,13.5
1,72,Martial Arts and Self-Defense,2,16
1,72,Martial Arts and Self-Defense,2,16.1
1,72,Martial Arts and Self-Defense,2,13.5
1,72,Music and Dance,1,14
1,72,Music and Dance,1,12.5
1,72,Music and Dance,1,7
1,72,Music and Dance,1,19.5
1,72,Music and Dance,1,13.5
1,72,Music and Dance,1,6.5
1,72,Music and Dance,1,11
1,72,Music and Dance,1,17.5
1,72,Spirituality and Rituals,2,12.25
1,72,Spirituality and Rituals,2,5.25
1,72,Spirituality and Rituals,2,11.75
1,72,Spirituality and Rituals,2,15.25
1,72,Spirituality and Rituals,2,11.75
1,72,Spirituality and Rituals,2,12.5
1,72,Spirituality and Rituals,2,7.25
1,72,Spirituality and Rituals,2,8.75
1,72,Traditional Medicine and Herbalism,2,6
1,72,Traditional Medicine and Herbalism,2,11
1,72,Traditional Medicine and Herbalism,2,8.5
1,72,Traditional Medicine and Herbalism,2,11
1,72,Traditional Medicine and Herbalism,2,7
1,72,Traditional Medicine and Herbalism,2,4.5
1,72,Traditional Medicine and Herbalism,2,6.5
1,111,Agriculture and Horticulture,1,2
1,111,Agriculture and Horticulture,1,12
1,111,Agriculture and Horticulture,1,17
1,111,Agriculture and Horticulture,1,4
1,111,Agriculture and Horticulture,1,6
1,111,Agriculture and Horticulture,1,3
1,111,Agriculture and Horticulture,1,6
1,111,Agriculture and Horticulture,1,6
1,111,Architecture and Sculpture,1,11.2
1,111,Architecture and Sculpture,1,9.7
1,111,Architecture and Sculpture,1,9.3
1,111,Astrology and Divination,1,10.5
1,111,Astrology and Divination,1,12
1,111,Astrology and Divination,1,14.5
1,111,Astrology and Divination,1,10.5
1,111,Astrology and Divination,1,11.5
1,111,Buddhist Philosophy and Meditation,1,9
1,111,Buddhist Philosophy and Meditation,1,5.7
1,111,Buddhist Philosophy and Meditation,1,9.4
1,111,Buddhist Philosophy and Meditation,1,10.1
1,111,Buddhist Philosophy and Meditation,1,12.7
1,111,Buddhist Philosophy and Meditation,1,10.8
1,111,Buddhist Philosophy and Meditation,1,10.7
1,111,Buddhist Philosophy and Meditation,1,10.1
1,111,Buddhist Philosophy and Meditation,1,12.9
1,111,History and Civilization of Southeast Asia,1,12
1,111,History and Civilization of Southeast Asia,1,12.5
1,111,History and Civilization of Southeast Asia,1,13
1,111,History and Civilization of Southeast Asia,1,6
1,111,History and Civilization of Southeast Asia,1,10.5
1,111,History and Civilization of Southeast Asia,1,13.5
1,111,History and Civilization of Southeast Asia,1,10
1,111,History and Civilization of Southeast Asia,1,12
1,111,History and Civilization of Southeast Asia,1,13
1,111,Language and Linguistics,1,8.75
1,111,Language and Linguistics,1,9.75
1,111,Language and Linguistics,1,7.75
1,111,Language and Linguistics,1,6.75
1,111,Language and Linguistics,1,8.75
1,111,Language and Linguistics,1,7.25
1,111,Language and Linguistics,1,6.25
1,111,Language and Linguistics,1,7.5
1,111,Martial Arts and Self-Defense,2,14.2
1,111,Martial Arts and Self-Defense,2,14.5
1,111,Martial Arts and Self-Defense,2,13.4
1,111,Martial Arts and Self-Defense,2,16.7
1,111,Music and Dance,1,11.5
1,111,Music and Dance,1,10
1,111,Music and Dance,1,11
1,111,Music and Dance,1,12
1,111,Music and Dance,1,12
1,111,Music and Dance,1,12.5
1,111,Music and Dance,1,13
1,111,Music and Dance,1,11
1,111,Music and Dance,1,11.5
1,111,Spirituality and Rituals,2,8
1,111,Spirituality and Rituals,2,12.25
1,111,Spirituality and Rituals,2,11.25
1,111,Spirituality and Rituals,2,6.25
1,111,Spirituality and Rituals,2,7.75
1,111,Spirituality and Rituals,2,5
1,111,Spirituality and Rituals,2,7.75
1,111,Traditional Medicine and Herbalism,2,8
1,111,Traditional Medicine and Herbalism,2,2.5
1,111,Traditional Medicine and Herbalism,2,5.5
1,111,Traditional Medicine and Herbalism,2,9.5
1,111,Traditional Medicine and Herbalism,2,4
1,111,Traditional Medicine and Herbalism,2,8.5
1,111,Traditional Medicine and Herbalism,2,6.5
1,148,Agriculture and Horticulture,1,6
1,148,Agriculture and Horticulture,1,2
1,148,Agriculture and Horticulture,1,1
1,148,Agriculture and Horticulture,1,4
1,148,Agriculture and Horticulture,1,9
1,148,Agriculture and Horticulture,1,6
1,148,Agriculture and Horticulture,1,5
1,148,Agriculture and Horticulture,1,13
1,148,Agriculture and Horticulture,1,8
1,148,Architecture and Sculpture,1,9.4
1,148,Architecture and Sculpture,1,11.8
1,148,Architecture and Sculpture,1,11.5
1,148,Astrology and Divination,1,13.5
1,148,Astrology and Divination,1,14.5
1,148,Astrology and Divination,1,11
1,148,Astrology and Divination,1,12.5
1,148,Astrology and Divination,1,10.5
1,148,Buddhist Philosophy and Meditation,1,8.3
1,148,Buddhist Philosophy and Meditation,1,12
1,148,Buddhist Philosophy and Meditation,1,6.6
1,148,Buddhist Philosophy and Meditation,1,10.6
1,148,Buddhist Philosophy and Meditation,1,6.5
1,148,Buddhist Philosophy and Meditation,1,10
1,148,Buddhist Philosophy and Meditation,1,9.2
1,148,Buddhist Philosophy and Meditation,1,9
1,148,Buddhist Philosophy and Meditation,1,9.6
1,148,History and Civilization of Southeast Asia,1,6
1,148,History and Civilization of Southeast Asia,1,6
1,148,History and Civilization of Southeast Asia,1,6
1,148,History and Civilization of Southeast Asia,1,9
1,148,History and Civilization of Southeast Asia,1,14.5
1,148,History and Civilization of Southeast Asia,1,8.5
1,148,History and Civilization of Southeast Asia,1,8
1,148,History and Civilization of Southeast Asia,1,4.5
1,148,History and Civilization of Southeast Asia,1,7
1,148,Language and Linguistics,1,8
1,148,Language and Linguistics,1,7
1,148,Language and Linguistics,1,9.25
1,148,Language and Linguistics,1,9.75
1,148,Language and Linguistics,1,9.25
1,148,Language and Linguistics,1,10
1,148,Language and Linguistics,1,7.5
1,148,Language and Linguistics,1,8
1,148,Martial Arts and Self-Defense,2,14.6
1,148,Martial Arts and Self-Defense,2,15.4
1,148,Martial Arts and Self-Defense,2,13.9
1,148,Martial Arts and Self-Defense,2,13.6
1,148,Martial Arts and Self-Defense,2,14.9
1,148,Martial Arts and Self-Defense,2,12.3
1,148,Music and Dance,1,12
1,148,Music and Dance,1,7.5
1,148,Music and Dance,1,15.5
1,148,Music and Dance,1,13
1,148,Music and Dance,1,15
1,148,Music and Dance,1,14
1,148,Music and Dance,1,13.5
1,148,Music and Dance,1,10.5
1,148,Music and Dance,1,11
1,148,Spirituality and Rituals,2,12.75
1,148,Spirituality and Rituals,2,11.25
1,148,Spirituality and Rituals,2,7.25
1,148,Spirituality and Rituals,2,8.25
1,148,Spirituality and Rituals,2,7.75
1,148,Spirituality and Rituals,2,11.75
1,148,Spirituality and Rituals,2,10.75
1,148,Spirituality and Rituals,2,10.25
1,148,Traditional Medicine and Herbalism,2,5
1,148,Traditional Medicine and Herbalism,2,7.5
1,148,Traditional Medicine and Herbalism,2,12
1,148,Traditional Medicine and Herbalism,2,8
1,148,Traditional Medicine and Herbalism,2,9
1,148,Traditional Medicine and Herbalism,2,3
1,148,Traditional Medicine and Herbalism,2,10.5
1,192,Agriculture and Horticulture,1,10
1,192,Agriculture and Horticulture,1,9
1,192,Agriculture and Horticulture,1,6
1,192,Agriculture and Horticulture,1,4
1,192,Agriculture and Horticulture,1,7
1,192,Agriculture and Horticulture,1,10
1,192,Agriculture and Horticulture,1,4
1,192,Agriculture and Horticulture,1,6
1,192,Agriculture and Horticulture,1,12
1,192,Architecture and Sculpture,1,11.8
1,192,Architecture and Sculpture,1,9.2
1,192,Architecture and Sculpture,1,11.5
1,192,Astrology and Divination,1,15
1,192,Astrology and Divination,1,15
1,192,Astrology and Divination,1,11.5
1,192,Astrology and Divination,1,12.5
1,192,Astrology and Divination,1,12
1,192,Buddhist Philosophy and Meditation,1,11.3
1,192,Buddhist Philosophy and Meditation,1,9.4
1,192,Buddhist Philosophy and Meditation,1,11.4
1,192,Buddhist Philosophy and Meditation,1,9.5
1,192,Buddhist Philosophy and Meditation,1,9.9
1,192,Buddhist Philosophy and Meditation,1,11.8
1,192,Buddhist Philosophy and Meditation,1,12.1
1,192,Buddhist Philosophy and Meditation,1,12.3
1,192,Buddhist Philosophy and Meditation,1,13
1,192,History and Civilization of Southeast Asia,1,14.5
1,192,History and Civilization of Southeast Asia,1,11.5
1,192,History and Civilization of Southeast Asia,1,5.5
1,192,History and Civilization of Southeast Asia,1,13
1,192,History and Civilization of Southeast Asia,1,6
1,192,History and Civilization of Southeast Asia,1,8.5
1,192,History and Civilization of Southeast Asia,1,9
1,192,History and Civilization of Southeast Asia,1,7.5
1,192,Language and Linguistics,1,9.5
1,192,Language and Linguistics,1,8.25
1,192,Language and Linguistics,1,10.25
1,192,Language and Linguistics,1,9.75
1,192,Language and Linguistics,1,8.5
1,192,Language and Linguistics,1,8.5
1,192,Martial Arts and Self-Defense,2,13.1
1,192,Martial Arts and Self-Defense,2,17.4
1,192,Martial Arts and Self-Defense,2,11.3
1,192,Martial Arts and Self-Defense,2,16
1,192,Martial Arts and Self-Defense,2,12.5
1,192,Martial Arts and Self-Defense,2,13.9
1,192,Music and Dance,1,12.5
1,192,Music and Dance,1,10.5
1,192,Music and Dance,1,13.5
1,192,Music and Dance,1,15
1,192,Music and Dance,1,9.5
1,192,Music and Dance,1,12
1,192,Music and Dance,1,11
1,192,Music and Dance,1,12.5
1,192,Music and Dance,1,12.5
1,192,Spirituality and Rituals,2,8.5
1,192,Spirituality and Rituals,2,13.5
1,192,Spirituality and Rituals,2,12.25
1,192,Spirituality and Rituals,2,10
1,192,Spirituality and Rituals,2,6.75
1,192,Spirituality and Rituals,2,12.25
1,192,Spirituality and Rituals,2,10.5
1,192,Spirituality and Rituals,2,14
1,192,Traditional Medicine and Herbalism,2,12
1,192,Traditional Medicine and Herbalism,2,10
1,192,Traditional Medicine and Herbalism,2,10.5
1,192,Traditional Medicine and Herbalism,2,5.5
1,192,Traditional Medicine and Herbalism,2,6
1,192,Traditional Medicine and Herbalism,2,9.5
1,192,Traditional Medicine and Herbalism,2,5.5
1,262,Agriculture and Horticulture,1,17
1,262,Agriculture and Horticulture,1,6
1,262,Agriculture and Horticulture,1,7
1,262,Agriculture and Horticulture,1,8
1,262,Agriculture and Horticulture,1,14
1,262,Agriculture and Horticulture,1,13
1,262,Agriculture and Horticulture,1,16
1,262,Agriculture and Horticulture,1,13
1,262,Architecture and Sculpture,1,7.6
1,262,Architecture and Sculpture,1,9.7
1,262,Architecture and Sculpture,1,9.5
1,262,Astrology and Divination,1,10
1,262,Astrology and Divination,1,13
1,262,Astrology and Divination,1,14.5
1,262,Astrology and Divination,1,15.5
1,262,Astrology and Divination,1,13.5
1,262,Buddhist Philosophy and Meditation,1,9
1,262,Buddhist Philosophy and Meditation,1,10.9
1,262,Buddhist Philosophy and Meditation,1,12.2
1,262,Buddhist Philosophy and Meditation,1,8.3
1,262,Buddhist Philosophy and Meditation,1,7.3
1,262,Buddhist Philosophy and Meditation,1,13.5
1,262,Buddhist Philosophy and Meditation,1,14.3
1,262,Buddhist Philosophy and Meditation,1,11.7
1,262,Buddhist Philosophy and Meditation,1,5.2
1,262,History and Civilization of Southeast Asia,1,10.5
1,262,History and Civilization of Southeast Asia,1,6.5
1,262,History and Civilization of Southeast Asia,1,11.5
1,262,History and Civilization of Southeast Asia,1,9.5
1,262,History and Civilization of Southeast Asia,1,2
1,262,History and Civilization of Southeast Asia,1,11
1,262,History and Civilization of Southeast Asia,1,6
1,262,History and Civilization of Southeast Asia,1,9
1,262,Language and Linguistics,1,8.5
1,262,Language and Linguistics,1,6.5
1,262,Language and Linguistics,1,9.5
1,262,Language and Linguistics,1,7
1,262,Language and Linguistics,1,7.75
1,262,Language and Linguistics,1,7.75
1,262,Language and Linguistics,1,7.25
1,262,Language and Linguistics,1,10
1,262,Martial Arts and Self-Defense,2,15.8
1,262,Martial Arts and Self-Defense,2,15.2
1,262,Martial Arts and Self-Defense,2,14.9
1,262,Martial Arts and Self-Defense,2,12.3
1,262,Martial Arts and Self-Defense,2,12.4
1,262,Martial Arts and Self-Defense,2,10.8
1,262,Music and Dance,1,18.5
1,262,Music and Dance,1,11.5
1,262,Music and Dance,1,20
1,262,Music and Dance,1,13
1,262,Music and Dance,1,17.5
1,262,Music and Dance,1,12.5
1,262,Music and Dance,1,10
1,262,Music and Dance,1,12
1,262,Music and Dance,1,9.5
1,262,Spirituality and Rituals,2,14.5
1,262,Spirituality and Rituals,2,13
1,262,Spirituality and Rituals,2,10
1,262,Spirituality and Rituals,2,6.75
1,262,Spirituality and Rituals,2,7
1,262,Spirituality and Rituals,2,7.75
1,262,Spirituality and Rituals,2,10.5
1,262,Spirituality and Rituals,2,10.75
1,262,Traditional Medicine and Herbalism,2,7.5
1,262,Traditional Medicine and Herbalism,2,7.5
1,262,Traditional Medicine and Herbalism,2,8.5
1,262,Traditional Medicine and Herbalism,2,5
1,262,Traditional Medicine and Herbalism,2,11.5
1,262,Traditional Medicine and Herbalism,2,4.5
1,262,Traditional Medicine and Herbalism,2,5
1,269,Agriculture and Horticulture,1,9
1,269,Agriculture and Horticulture,1,3
1,269,Agriculture and Horticulture,1,6
1,269,Agriculture and Horticulture,1,13
1,269,Agriculture and Horticulture,1,3
1,269,Agriculture and Horticulture,1,8
1,269,Agriculture and Horticulture,1,6
1,269,Agriculture and Horticulture,1,10
1,269,Agriculture and Horticulture,1,6
1,269,Architecture and Sculpture,1,11.3
1,269,Architecture and Sculpture,1,13.8
1,269,Architecture and Sculpture,1,11.7
1,269,Astrology and Divination,1,10
1,269,Astrology and Divination,1,11.5
1,269,Astrology and Divination,1,12
1,269,Astrology and Divination,1,13.5
1,269,Astrology and Divination,1,15
1,269,Buddhist Philosophy and Meditation,1,11.4
1,269,Buddhist Philosophy and Meditation,1,11.8
1,269,Buddhist Philosophy and Meditation,1,15.2
1,269,Buddhist Philosophy and Meditation,1,11.1
1,269,Buddhist Philosophy and Meditation,1,11.8
1,269,Buddhist Philosophy and Meditation,1,10.1
1,269,Buddhist Philosophy and Meditation,1,8.3
1,269,Buddhist Philosophy and Meditation,1,9.8
1,269,Buddhist Philosophy and Meditation,1,9
1,269,History and Civilization of Southeast Asia,1,10.5
1,269,History and Civilization of Southeast Asia,1,13.5
1,269,History and Civilization of Southeast Asia,1,4
1,269,History and Civilization of Southeast Asia,1,11
1,269,History and Civilization of Southeast Asia,1,6.5
1,269,History and Civilization of Southeast Asia,1,3.5
1,269,History and Civilization of Southeast Asia,1,13.5
1,269,History and Civilization of Southeast Asia,1,11.5
1,269,History and Civilization of Southeast Asia,1,12.5
1,269,Language and Linguistics,1,7.5
1,269,Language and Linguistics,1,8.5
1,269,Language and Linguistics,1,9.25
1,269,Language and Linguistics,1,7.5
1,269,Language and Linguistics,1,8.75
1,269,Language and Linguistics,1,9
1,269,Language and Linguistics,1,9
1,269,Language and Linguistics,1,8
1,269,Martial Arts and Self-Defense,2,13.1
1,269,Martial Arts and Self-Defense,2,14.6
1,269,Martial Arts and Self-Defense,2,15.8
1,269,Martial Arts and Self-Defense,2,14.1
1,269,Martial Arts and Self-Defense,2,14.5
1,269,Martial Arts and Self-Defense,2,12.8
1,269,Music and Dance,1,12.5
1,269,Music and Dance,1,17
1,269,Music and Dance,1,3
1,269,Music and Dance,1,13.5
1,269,Music and Dance,1,8
1,269,Music and Dance,1,8.5
1,269,Music and Dance,1,13
1,269,Music and Dance,1,13
1,269,Spirituality and Rituals,2,13.75
1,269,Spirituality and Rituals,2,11.25
1,269,Spirituality and Rituals,2,7.25
1,269,Spirituality and Rituals,2,10
1,269,Spirituality and Rituals,2,7.25
1,269,Spirituality and Rituals,2,9.25
1,269,Spirituality and Rituals,2,8.75
1,269,Spirituality and Rituals,2,14.5
1,269,Traditional Medicine and Herbalism,2,8.5
1,269,Traditional Medicine and Herbalism,2,9
1,269,Traditional Medicine and Herbalism,2,3.5
1,269,Traditional Medicine and Herbalism,2,9.5
1,269,Traditional Medicine and Herbalism,2,6.5
1,269,Traditional Medicine and Herbalism,2,10.5
1,269,Traditional Medicine and Herbalism,2,7
1,284,Agriculture and Horticulture,1,11
1,284,Agriculture and Horticulture,1,8
1,284,Agriculture and Horticulture,1,6
1,284,Agriculture and Horticulture,1,9
1,284,Agriculture and Horticulture,1,10
1,284,Agriculture and Horticulture,1,8
1,284,Agriculture and Horticulture,1,8
1,284,Agriculture and Horticulture,1,4
1,284,Architecture and Sculpture,1,12
1,284,Architecture and Sculpture,1,11.6
1,284,Architecture and Sculpture,1,9.5
1,284,Astrology and Divination,1,11
1,284,Astrology and Divination,1,14
1,284,Astrology and Divination,1,11.5
1,284,Astrology and Divination,1,14
1,284,Astrology and Divination,1,13
1,284,Buddhist Philosophy and Meditation,1,10
1,284,Buddhist Philosophy and Meditation,1,11.1
1,284,Buddhist Philosophy and Meditation,1,9.8
